movieId,title,imdbId,tmdbId,genre,original_language,popularity,release_date,vote_average,vote_count,genre_1,genre_2,genre_3,genre_4,genre_5,release_year,release_month,release_day,movie_avg_rating,movie_rating_stddev,movie_rating_count
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",0112682,902,"Fantasy,Science Fiction,Adventure",fr,12.776,1995-08-17,7.4,828,Fantasy,Science Fiction,Adventure,None,None,1995,8,17,4.0131578947368425,0.8259870598526935,38
31,Dangerous Minds (1995),0112792,9909,Drama,en,17.238,1995-08-11,6.9,912,Drama,None,None,None,None,1995,8,11,3.1842105263157894,0.989273912220329,38
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),0114746,63,"Science Fiction,Thriller,Mystery",en,25.671,1995-12-29,7.6,6960,Science Fiction,Thriller,Mystery,None,None,1995,12,29,3.983050847457627,0.7903866737178422,177
34,Babe (1995),0112431,9598,"Fantasy,Drama,Comedy,Family",en,27.136,1995-07-18,6.2,2427,Fantasy,Drama,Comedy,Family,None,1995,7,18,3.65234375,1.0415739788159346,128
36,Dead Man Walking (1995),0112818,687,Drama,en,13.905,1995-12-29,7.4,1086,Drama,None,None,None,None,1995,12,29,3.8358208955223883,0.943028887461601,67
38,It Takes Two (1995),0113442,33689,"Comedy,Family,Romance",en,14.903,1995-11-17,6.4,742,Comedy,Family,Romance,None,None,1995,11,17,2.125,0.8539125638299665,4
39,Clueless (1995),0112697,9603,"Comedy,Romance",en,72.089,1995-07-19,7.3,3546,Comedy,Romance,None,None,None,1995,7,19,3.293269230769231,1.0371979076466489,104
42,Dead Presidents (1995),0112819,11443,"Action,Drama,Crime,War",en,9.02,1995-10-06,6.6,214,Action,Drama,Crime,War,None,1995,10,6,3.0,0.816496580927726,7
44,Mortal Kombat (1995),0113855,9312,"Action,Fantasy",en,26.363,1995-08-18,5.8,1819,Action,Fantasy,None,None,None,1995,8,18,2.5434782608695654,1.0843640581594445,46
45,To Die For (1995),0114681,577,"Drama,Comedy,Crime",en,8.081,1995-09-22,6.6,618,Drama,Comedy,Crime,None,None,1995,9,22,3.3125,0.8303710791159927,32
47,Seven (a.k.a. Se7en) (1995),0114369,807,"Crime,Mystery,Thriller",en,47.045,1995-09-22,8.4,17351,Crime,Mystery,Thriller,None,None,1995,9,22,3.9753694581280787,0.9224291201153795,203
48,Pocahontas (1995),0114148,10530,"Adventure,Animation,Family,Romance",en,52.068,1995-06-14,6.9,4888,Adventure,Animation,Family,Romance,None,1995,6,14,3.1470588235294117,1.0546939271988995,68
50,"Usual Suspects, The (1995)",0114814,629,"Drama,Crime,Thriller",en,20.782,1995-07-19,8.2,8707,Drama,Crime,Thriller,None,None,1995,7,19,4.237745098039215,0.8009211530017211,204
52,Mighty Aphrodite (1995),0113819,11448,"Comedy,Romance",en,8.72,1995-09-13,6.8,527,Comedy,Romance,None,None,None,1995,9,13,3.4642857142857144,0.8705954904182011,28
58,"Postman, The (Postino, Il) (1994)",0110877,11010,"Comedy,Drama,Romance",it,9.32,1994-04-07,8.0,932,Comedy,Drama,Romance,None,None,1994,4,7,4.027027027027027,0.9200388423710553,37
60,"Indian in the Cupboard, The (1995)",0113419,11359,"Adventure,Family,Fantasy",en,39.667,1995-07-14,6.4,489,Adventure,Family,Fantasy,None,None,1995,7,14,3.235294117647059,1.0242165824878726,34
61,Eye for an Eye (1996),0116260,17182,"Thriller,Crime",en,9.235,1996-01-12,6.1,271,Thriller,Crime,None,None,None,1996,1,12,3.75,0.8803408430829505,6
62,Mr. Holland's Opus (1995),0113862,2054,"Drama,Music,Family",en,9.341,1995-12-29,7.0,314,Drama,Music,Family,None,None,1995,12,29,3.70625,1.0484882124495105,80
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),0116126,10607,Comedy,en,73.741,1996-01-12,6.9,956,Comedy,None,None,None,None,1996,1,12,2.7142857142857144,1.14953406710222,7
68,French Twist (Gazon maudit) (1995),0113149,4482,"Comedy,Romance",fr,6.63,1995-01-18,6.0,256,Comedy,Romance,None,None,None,1995,1,18,3.4,1.140175425099138,5
69,Friday (1995),0113118,10634,Comedy,en,32.367,1995-04-26,7.1,1378,Comedy,None,None,None,None,1995,4,26,3.775,0.89552983434977,20
70,From Dusk Till Dawn (1996),0116367,755,"Horror,Action,Thriller,Crime",en,25.07,1996-01-19,7.0,4890,Horror,Action,Thriller,Crime,None,1996,1,19,3.5090909090909093,1.0160330862345144,55
71,Fair Game (1995),0113010,11859,"Action,Thriller,Romance",en,12.976,1995-11-03,4.9,233,Action,Thriller,Romance,None,None,1995,11,3,1.7,0.4472135954999579,5
76,Screamers (1995),0114367,9102,"Horror,Science Fiction",en,8.527,1995-09-08,6.2,413,Horror,Science Fiction,None,None,None,1995,9,8,3.4,1.1982129550769702,15
78,"Crossing Guard, The (1995)",0112744,27526,"Drama,Thriller",en,7.983,1995-11-15,6.1,207,Drama,Thriller,None,None,None,1995,11,15,3.3333333333333335,0.5773502691896258,3
79,"Juror, The (1996)",0116731,9623,Thriller,en,13.615,1996-02-02,5.5,293,Thriller,None,None,None,None,1996,2,2,2.764705882352941,1.200490095997562,17
81,Things to Do in Denver When You're Dead (1995),0114660,400,"Drama,Crime",en,7.6,1995-12-01,6.5,294,Drama,Crime,None,None,None,1995,12,1,3.107142857142857,0.7640623068776583,14
86,White Squall (1996),0118158,10534,"Adventure,Action,Drama",en,9.975,1996-02-02,6.3,273,Adventure,Action,Drama,None,None,1996,2,2,3.966666666666667,0.7668736780560658,15
88,Black Sheep (1996),0115697,13997,Comedy,en,10.206,1996-02-01,6.0,316,Comedy,None,None,None,None,1996,2,1,3.15625,1.1792476415070754,16
89,Nick of Time (1995),0113972,2086,"Thriller,Crime,Action",en,8.268,1995-11-22,6.2,564,Thriller,Crime,Action,None,None,1995,11,22,3.25,0.754615428178118,10
92,Mary Reilly (1996),0117002,9095,"Drama,Horror,Thriller,History",en,8.956,1996-02-23,5.9,255,Drama,Horror,Thriller,History,None,1996,2,23,2.625,1.026436275942851,8
93,Vampire in Brooklyn (1995),0114825,12158,"Comedy,Horror,Romance",en,11.706,1995-10-26,5.0,440,Comedy,Horror,Romance,None,None,1995,10,26,2.8333333333333335,1.0307764064044151,9
94,Beautiful Girls (1996),0115639,9283,"Comedy,Drama,Romance",en,6.219,1996-02-09,6.7,286,Comedy,Drama,Romance,None,None,1996,2,9,3.95,0.49721446300587663,10
95,Broken Arrow (1996),0115759,9208,Action,en,13.433,1996-02-09,6.0,1212,Action,None,None,None,None,1996,2,9,3.0238095238095237,1.0146658358604672,84
97,"Hate (Haine, La) (1995)",0113247,406,Drama,fr,16.787,1995-05-31,8.1,3054,Drama,None,None,None,None,1995,5,31,3.9,0.7378647873726217,10
101,Bottle Rocket (1996),0115734,13685,"Comedy,Crime,Drama",en,10.023,1996-02-21,6.8,832,Comedy,Crime,Drama,None,None,1996,2,21,3.782608695652174,1.0425720702853736,23
104,Happy Gilmore (1996),0116483,9614,Comedy,en,18.066,1996-02-16,6.6,2115,Comedy,None,None,None,None,1996,2,16,3.4393939393939394,0.9930182995434679,99
105,"Bridges of Madison County, The (1995)",0112579,688,"Drama,Romance",en,18.625,1995-05-28,7.7,1708,Drama,Romance,None,None,None,1995,5,28,3.282608695652174,0.8504823091062899,23
107,Muppet Treasure Island (1996),0117110,10874,"Action,Comedy,Music,Family,Adventure,Romance",en,9.498,1996-02-16,6.6,298,Action,Comedy,Music,Family,Adventure,1996,2,16,3.326923076923077,0.9267395285872693,26
110,Braveheart (1995),0112573,197,"Action,Drama,History,War",en,38.892,1995-03-14,7.9,8481,Action,Drama,History,War,None,1995,3,14,4.031645569620253,0.9677263634544532,237
111,Taxi Driver (1976),0075314,103,"Crime,Drama",en,39.307,1976-02-09,8.2,9564,Crime,Drama,None,None,None,1976,2,9,4.105769230769231,0.8204695462511792,104
112,Rumble in the Bronx (Hont faan kui) (1995),0113326,33542,"Crime,Action,Comedy,Thriller",cn,28.622,1995-01-21,6.8,744,Crime,Action,Comedy,Thriller,None,1995,1,21,3.5434782608695654,0.9299109094514959,46
122,Boomerang (1992),0103859,11066,"Comedy,Romance",en,10.513,1992-06-30,5.6,460,Comedy,Romance,None,None,None,1992,6,30,2.65625,0.7238496621076322,16
123,Chungking Express (Chung Hing sam lam) (1994),0109424,11104,"Drama,Comedy,Romance",cn,20.608,1994-07-14,8.0,1219,Drama,Comedy,Romance,None,None,1994,7,14,4.375,0.9464847243000455,4
135,Down Periscope (1996),0116130,9101,Comedy,en,10.299,1996-03-01,6.1,331,Comedy,None,None,None,None,1996,3,1,2.9516129032258065,1.0275767506588613,31
141,"Birdcage, The (1996)",0115685,11000,Comedy,en,11.131,1996-03-08,7.1,886,Comedy,None,None,None,None,1996,3,8,3.494186046511628,0.8418962701457717,86
145,Bad Boys (1995),0112442,9737,"Action,Comedy,Crime,Thriller",en,35.101,1995-04-07,6.8,5250,Action,Comedy,Crime,Thriller,None,1995,4,7,3.2450980392156863,0.8623952053415408,51
147,"Basketball Diaries, The (1995)",0112461,10474,"Drama,Crime",en,30.737,1995-04-21,7.4,1575,Drama,Crime,None,None,None,1995,4,21,3.466666666666667,0.8549575316659775,15
150,Apollo 13 (1995),0112384,568,"History,Drama,Adventure",en,19.844,1995-06-30,7.4,4552,History,Drama,Adventure,None,None,1995,6,30,3.845771144278607,0.8766952306036482,201
151,Rob Roy (1995),0114287,11780,"Adventure,History,War,Drama,Action",en,9.886,1995-04-13,6.8,506,Adventure,History,War,Drama,Action,1995,4,13,3.5454545454545454,0.9512426500536988,44
153,Batman Forever (1995),0112462,414,"Action,Crime,Fantasy",en,29.672,1995-06-16,5.4,4346,Action,Crime,Fantasy,None,None,1995,6,16,2.9160583941605838,0.9045825797702901,137
154,Beauty of the Day (Belle de jour) (1967),0061395,649,"Drama,Romance",fr,10.557,1967-05-24,7.5,640,Drama,Romance,None,None,None,1967,5,24,3.875,0.6077155435054972,12
158,Casper (1995),0112642,8839,"Fantasy,Comedy,Family",en,48.963,1995-05-26,6.3,3906,Fantasy,Comedy,Family,None,None,1995,5,26,2.806451612903226,1.1138282776292474,62
159,Clockers (1995),0112688,20649,"Mystery,Crime,Drama",en,8.333,1995-09-15,6.9,247,Mystery,Crime,Drama,None,None,1995,9,15,2.892857142857143,0.9235918893223228,14
160,Congo (1995),0112715,10329,"Action,Adventure,Science Fiction",en,13.499,1995-06-09,5.5,697,Action,Adventure,Science Fiction,None,None,1995,6,9,2.8771929824561404,1.0276564086481381,57
161,Crimson Tide (1995),0112740,8963,"War,Thriller,Action,Drama",en,17.089,1995-05-12,7.2,1362,War,Thriller,Action,Drama,None,1995,5,12,3.6359223300970873,0.8778152881915151,103
163,Desperado (1995),0112851,8068,"Thriller,Action,Crime",en,18.156,1995-08-25,6.9,2315,Thriller,Action,Crime,None,None,1995,8,25,3.5606060606060606,0.994272642979826,66
164,Devil in a Blue Dress (1995),0112857,8512,"Thriller,Crime,Drama,Mystery",en,14.454,1995-09-15,6.3,275,Thriller,Crime,Drama,Mystery,None,1995,9,15,3.3214285714285716,0.7747739833491605,14
165,Die Hard: With a Vengeance (1995),0112864,1572,"Action,Thriller",en,34.76,1995-05-19,7.2,5077,Action,Thriller,None,None,None,1995,5,19,3.5555555555555554,0.92197551488033,144
168,First Knight (1995),0113071,6520,"Action,Adventure,Drama,Romance",en,11.049,1995-07-07,6.1,965,Action,Adventure,Drama,Romance,None,1995,7,7,3.0833333333333335,1.298584134631631,54
169,Free Willy 2: The Adventure Home (1995),0113114,9073,"Family,Adventure,Drama",en,27.414,1995-07-19,5.9,482,Family,Adventure,Drama,None,None,1995,7,19,2.4,0.9944289260117533,10
170,Hackers (1995),0113243,10428,"Action,Crime,Thriller,Drama",en,16.133,1995-09-14,6.3,989,Action,Crime,Thriller,Drama,None,1995,9,14,3.2285714285714286,0.9183013181545423,35
172,Johnny Mnemonic (1995),0113481,9886,"Science Fiction,Thriller,Adventure,Action,Drama",en,11.884,1995-05-26,5.7,1065,Science Fiction,Thriller,Adventure,Action,Drama,1995,5,26,2.6792452830188678,1.070111153566272,53
173,Judge Dredd (1995),0113492,9482,Science Fiction,en,20.394,1995-06-30,5.8,1959,Science Fiction,None,None,None,None,1995,6,30,2.6693548387096775,1.0280633886301838,62
175,Kids (1995),0113540,9344,"Drama,Crime",en,18.307,1995-07-28,6.9,866,Drama,Crime,None,None,None,1995,7,28,3.975,0.7517523388373116,20
176,Living in Oblivion (1995),0113677,9071,"Drama,Comedy",en,6.14,1995-07-21,7.2,206,Drama,Comedy,None,None,None,1995,7,21,4.3076923076923075,0.5219539227133918,13
177,Lord of Illusions (1995),0113690,8973,"Horror,Fantasy",en,10.46,1995-08-25,6.0,244,Horror,Fantasy,None,None,None,1995,8,25,2.75,1.164964745021435,8
180,Mallrats (1995),0113749,2293,"Romance,Comedy",en,9.486,1995-10-20,6.8,977,Romance,Comedy,None,None,None,1995,10,20,3.4027777777777777,0.9244260338520828,36
181,Mighty Morphin Power Rangers: The Movie (1995),0113820,9070,"Family,Action,Adventure,Science Fiction,Fantasy",en,29.545,1995-06-30,5.8,553,Family,Action,Adventure,Science Fiction,Fantasy,1995,6,30,2.264705882352941,1.1607870048325986,17
185,"Net, The (1995)",0113957,1642,"Crime,Drama,Mystery,Thriller,Action",en,14.149,1995-07-28,6.0,1051,Crime,Drama,Mystery,Thriller,Action,1995,7,28,3.0401785714285716,1.037882444126004,112
186,Nine Months (1995),0113986,11472,"Romance,Comedy",en,7.747,1995-07-12,5.7,540,Romance,Comedy,None,None,None,1995,7,12,2.8229166666666665,1.0743111763107092,48
188,"Prophecy, The (1995)",0114194,11980,"Horror,Fantasy,Thriller",en,13.436,1995-09-01,6.5,388,Horror,Fantasy,Thriller,None,None,1995,9,1,3.4583333333333335,1.0103629710818451,12
190,Safe (1995),0114323,32646,Drama,en,7.052,1995-06-23,6.9,207,Drama,None,None,None,None,1995,6,23,2.8,1.4832396974191326,5
191,"Scarlet Letter, The (1995)",0114345,10533,"Drama,Romance",en,14.774,1995-10-13,6.0,380,Drama,Romance,None,None,None,1995,10,13,2.4166666666666665,1.4288690166235205,6
193,Showgirls (1995),0114436,10802,Drama,en,19.657,1995-09-22,5.5,935,Drama,None,None,None,None,1995,9,22,2.4714285714285715,1.01418510567422,35
194,Smoke (1995),0114478,10149,"Comedy,Drama",en,8.812,1995-06-09,7.3,357,Comedy,Drama,None,None,None,1995,6,9,3.6666666666666665,1.2718675476729209,18
196,Species (1995),0114508,9348,"Science Fiction,Horror,Action",en,39.323,1995-07-07,5.9,1264,Science Fiction,Horror,Action,None,None,1995,7,7,2.6666666666666665,0.917010954628728,45
198,Strange Days (1995),0114558,281,"Crime,Drama,Science Fiction,Thriller",en,10.282,1995-10-13,7.0,1018,Crime,Drama,Science Fiction,Thriller,None,1995,10,13,3.25,0.927960727138337,28
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",0058450,5967,"Drama,Romance",fr,8.498,1964-02-19,7.4,561,Drama,Romance,None,None,None,1964,2,19,4.125,0.8539125638299665,4
202,Total Eclipse (1995),0114702,36834,"Drama,Romance",en,8.878,1995-11-03,6.4,420,Drama,Romance,None,None,None,1995,11,3,3.0,0.0,1
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",0114682,9090,Comedy,en,15.437,1995-09-07,7.3,508,Comedy,None,None,None,None,1995,9,7,3.4318181818181817,0.7912535946725621,22
204,Under Siege 2: Dark Territory (1995),0114781,3512,"Action,Thriller",en,17.56,1995-07-13,5.8,674,Action,Thriller,None,None,None,1995,7,13,2.716666666666667,1.127121244077395,30
207,"Walk in the Clouds, A (1995)",0114887,9560,"Drama,Romance",en,17.996,1995-08-11,7.2,753,Drama,Romance,None,None,None,1995,8,11,3.4285714285714284,1.0872639316848771,21
208,Waterworld (1995),0114898,9804,"Adventure,Action,Science Fiction",en,24.568,1995-07-28,6.2,2979,Adventure,Action,Science Fiction,None,None,1995,7,28,2.9130434782608696,0.9557326333834747,115
215,Before Sunrise (1995),0112471,76,"Drama,Romance",en,18.804,1995-01-27,8.0,3218,Drama,Romance,None,None,None,1995,1,27,4.041666666666667,0.9990937922923461,24
216,Billy Madison (1995),0112508,11017,Comedy,en,16.317,1995-02-10,6.2,1306,Comedy,None,None,None,None,1995,2,10,3.326530612244898,1.0633624950685288,49
219,"Cure, The (1995)",0112757,6715,"Drama,Family",en,11.008,1995-04-21,7.9,240,Drama,Family,None,None,None,1995,4,21,3.0,0.0,1
223,Clerks (1994),0109445,2292,Comedy,en,11.721,1994-09-13,7.4,1984,Comedy,None,None,None,None,1994,9,13,3.855769230769231,0.9468216554343288,104
224,Don Juan DeMarco (1995),0112883,1909,"Romance,Drama,Comedy",en,15.275,1994-10-12,6.7,616,Romance,Drama,Comedy,None,None,1994,10,12,3.6125,0.7552168987135842,40
225,Disclosure (1994),0109635,8984,"Thriller,Drama,Crime",en,14.066,1994-03-10,6.2,951,Thriller,Drama,Crime,None,None,1994,3,10,3.5384615384615383,0.784945070178536,52
227,Drop Zone (1994),0109676,4954,"Action,Thriller",en,9.725,1994-12-08,5.6,323,Action,Thriller,None,None,None,1994,12,8,2.8636363636363638,1.0371873387954444,22
229,Death and the Maiden (1994),0109579,10531,"Drama,Thriller,Mystery",en,9.171,1994-05-04,7.1,382,Drama,Thriller,Mystery,None,None,1994,5,4,3.4285714285714284,0.8380817098475258,7
230,Dolores Claiborne (1995),0109642,11929,"Crime,Drama,Mystery",en,11.783,1995-03-24,7.3,580,Crime,Drama,Mystery,None,None,1995,3,24,3.3958333333333335,0.7515081455005149,24
231,Dumb & Dumber (Dumb and Dumber) (1994),0109686,8467,Comedy,en,35.486,1994-12-16,6.6,5099,Comedy,None,None,None,None,1994,12,16,3.0601503759398496,1.1214803426872666,133
232,Eat Drink Man Woman (Yin shi nan nu) (1994),0111797,10451,"Comedy,Drama,Romance",zh,8.991,1994-01-28,7.5,231,Comedy,Drama,Romance,None,None,1994,1,28,3.892857142857143,1.2275455722164175,14
233,Exotica (1994),0109759,20156,"Drama,Mystery",en,10.855,1994-11-30,6.7,214,Drama,Mystery,None,None,None,1994,11,30,3.5,0.5222329678670935,12
235,Ed Wood (1994),0109707,522,"Comedy,Drama,History",en,11.686,1994-09-27,7.5,1876,Comedy,Drama,History,None,None,1994,9,27,3.6785714285714284,0.9090356184955471,70
236,French Kiss (1995),0113117,397,"Comedy,Romance",en,11.039,1995-05-05,6.4,594,Comedy,Romance,None,None,None,1995,5,5,3.477777777777778,0.9167355346031046,45
239,"Goofy Movie, A (1995)",0113198,15789,"Romance,Animation,Family,Comedy,Adventure",en,23.642,1995-04-07,6.9,1409,Romance,Animation,Family,Comedy,Adventure,1995,4,7,3.0,1.0606601717798212,17
241,Fluke (1995),0113089,21183,"Drama,Adventure,Family",en,9.064,1995-06-02,7.2,215,Drama,Adventure,Family,None,None,1995,6,2,4.0,0.0,1
247,Heavenly Creatures (1994),0110005,1024,"Drama,Fantasy",en,14.026,1994-09-12,7.0,717,Drama,Fantasy,None,None,None,1994,9,12,3.9285714285714284,0.7629828681843762,21
249,Immortal Beloved (1994),0110116,13701,"Drama,Music,Romance",en,10.203,1994-12-16,7.1,261,Drama,Music,Romance,None,None,1994,12,16,3.7222222222222223,0.8947924869885988,18
250,Heavyweights (Heavy Weights) (1995),0110006,14819,"Family,Comedy,Drama",en,10.676,1995-02-17,6.2,301,Family,Comedy,Drama,None,None,1995,2,17,2.5,1.0954451150103321,6
252,I.Q. (1994),0110099,11777,"Comedy,Drama,Romance",en,7.003,1994-12-24,6.0,350,Comedy,Drama,Romance,None,None,1994,12,24,3.453488372093023,0.864745720183603,43
253,Interview with the Vampire: The Vampire Chronicles (1994),0110148,628,"Horror,Drama,Fantasy",en,34.553,1994-11-11,7.4,4752,Horror,Drama,Fantasy,None,None,1994,11,11,3.458715596330275,1.0163670787348358,109
256,Junior (1994),0110216,6280,"Comedy,Family,Romance",en,12.917,1994-11-22,5.1,1196,Comedy,Family,Romance,None,None,1994,11,22,2.8285714285714287,1.0427823157223146,35
257,Just Cause (1995),0113501,9061,"Action,Drama,Mystery,Thriller",en,10.471,1995-02-17,6.2,395,Action,Drama,Mystery,Thriller,None,1995,2,17,3.5,0.9405399431259602,14
259,Kiss of Death (1995),0113552,6071,Action,en,5.693,1995-04-21,5.6,245,Action,None,None,None,None,1995,4,21,3.2,0.447213595499958,5
260,Star Wars: Episode IV - A New Hope (1977),0076759,11,"Adventure,Action,Science Fiction",en,77.644,1977-05-25,8.2,17480,Adventure,Action,Science Fiction,None,None,1977,5,25,4.231075697211155,0.8720036916475825,251
261,Little Women (1994),0110367,9587,"Drama,Romance",en,13.683,1994-12-21,7.3,1007,Drama,Romance,None,None,None,1994,12,21,3.880952380952381,0.7635725068956289,42
262,"Little Princess, A (1995)",0113670,19101,"Drama,Family,Fantasy",en,16.806,1995-05-10,7.6,805,Drama,Family,Fantasy,None,None,1995,5,10,3.9047619047619047,0.6248809410409236,21
265,Like Water for Chocolate (Como agua para chocolate) (1992),0103994,18183,"Drama,Romance",es,24.905,1992-04-16,7.2,374,Drama,Romance,None,None,None,1992,4,16,3.9393939393939394,1.0662256427286492,33
266,Legends of the Fall (1994),0110322,4476,"Adventure,Drama,Romance,War,Western",en,19.632,1994-12-16,7.4,2046,Adventure,Drama,Romance,War,Western,1994,12,16,3.3970588235294117,0.9794867050876044,68
267,Major Payne (1995),0110443,11008,"Adventure,Comedy,Family",en,16.136,1995-03-24,6.4,616,Adventure,Comedy,Family,None,None,1995,3,24,2.9411764705882355,1.2976222599091636,17
273,Mary Shelley's Frankenstein (Frankenstein) (1994),0109836,3036,"Drama,Horror,Science Fiction,Romance",en,12.58,1994-11-04,6.4,990,Drama,Horror,Science Fiction,Romance,None,1994,11,4,2.9464285714285716,1.0482727037253528,28
276,Milk Money (1994),0110516,8986,"Comedy,Romance",en,13.123,1994-08-31,6.3,215,Comedy,Romance,None,None,None,1994,8,31,3.25,0.8128433340529315,22
277,Miracle on 34th Street (1994),0110527,10510,"Fantasy,Drama,Family",en,11.645,1994-11-18,6.7,819,Fantasy,Drama,Family,None,None,1994,11,18,3.223684210526316,1.1548801764278915,38
280,Murder in the First (1995),0113870,8438,"Crime,Drama",en,9.213,1995-01-20,7.2,452,Crime,Drama,None,None,None,1995,1,20,4.076923076923077,0.8623164985025762,13
281,Nobody's Fool (1994),0110684,11593,"Drama,Comedy",en,7.869,1994-12-23,6.9,219,Drama,Comedy,None,None,None,1994,12,23,3.7857142857142856,0.8017837257372732,14
282,Nell (1994),0110638,1945,"Drama,Thriller",en,8.042,1994-12-23,6.6,399,Drama,Thriller,None,None,None,1994,12,23,3.3375,0.9363561397848689,40
288,Natural Born Killers (1994),0110632,241,"Crime,Thriller,Drama",en,22.816,1994-08-25,7.1,2775,Crime,Thriller,Drama,None,None,1994,8,25,3.233695652173913,1.1252620865813316,92
289,Only You (1994),0110737,9058,"Romance,Comedy",en,11.825,1994-09-17,6.8,410,Romance,Comedy,None,None,None,1994,9,17,3.5625,1.1160357137142676,8
